Email,Time,Location,Latitude,Longitude
nick@dimagi.com,2011-05-19 14:05,Dodoma,-6.17221,35.73947
alex@dimagi.com,2011-05-22 16:22,Lusaka,-15.40669,28.28713
alice@dimagi.com,2019-12-21 17:05,Bangui,4.36122,18.55496
bob@dimagi.com,2019-12-21 17:05,Cambridge,42.33704,-71.20922
david@dimagi.com,2019-12-21 17:05,Anapolis,38.97859,-76.49184
cat@dimagi.com,2019-12-21 17:05,Budapest,47.49835,19.04045
sally@dimagi.com,2019-12-21 17:05,Ponta Grosa,-25.095,-50.16194
sam@dimagi.com,2019-12-21 17:05,Pires do Rio,-17.29972,-48.27944
ada@dimagi.com,2019-12-21 17:05,Kariba,-16.51667,28.8
holly@dimagi.com,2019-12-21 17:05,Gamboma,-1.87639,15.86444
emma@dimagi.com,2019-12-21 17:05,Chicureo,-33.28379,-70.65333
gray@dimagi.com,2019-12-21 17:05,Chinhoyi,-17.36667,30.2
